28-06-2023	17:09:24	d42fb438-cb7f-4d8c-b317-3bed1ba02ad3	GET 	 undefined 	/api/employees/3
28-06-2023	17:11:41	f1741dc0-7d3c-43da-9f8f-b5aa418979a5	GET 	 undefined 	/api/users
28-06-2023	17:13:14	ecc383cf-d543-4193-8882-50860ec1ca26	POST 	 undefined 	/api/users
28-06-2023	17:15:30	03b84963-b3e4-4a3e-a25b-5fbbff14dd34	POST 	 undefined 	/api/users
28-06-2023	17:15:39	2981afab-12d8-41b7-b354-d000dcddb901	POST 	 undefined 	/api/users
28-06-2023	17:16:32	b19f9bf7-644c-4cc6-a56a-46640dda09d4	GET 	 undefined 	/api/users
28-06-2023	17:17:27	cb80600b-da90-48f2-9a90-6c8e7d9010bf	GET 	 undefined 	/api/users/1
28-06-2023	17:17:42	72b5fb6f-d00c-440c-bd1f-c3755d2e6479	GET 	 undefined 	/api/users/ZbKsGg2j3
28-06-2023	17:17:48	b5cbdc4e-761a-4d94-bb5a-759b7d066d6c	GET 	 undefined 	/api/users/ZbKsGg2j
28-06-2023	17:17:57	caa498f7-c2a0-42c9-bfa9-16798acee46e	GET 	 undefined 	/api/users/ZbKsGg2j3
28-06-2023	17:32:30	d425b65d-30cf-49a6-b515-12cd3e02d77d	GET 	 undefined 	/
28-06-2023	17:32:30	55c81b98-eaf4-4934-b239-6bae3c0d77e1	GET 	 undefined 	/css/style.css
29-06-2023	11:54:49	2ebfd6ff-1b5b-4153-b313-81dca7e9db67	GET 	 undefined 	/api/login
29-06-2023	11:55:50	fd571cc6-6a23-46ff-bf81-faa2c2c0814e	POST 	 undefined 	/api/login
29-06-2023	11:57:13	dd835d46-02a9-49bf-a7d4-6fb9de9a0ebd	POST 	 undefined 	/api/login
29-06-2023	11:59:00	917cde33-88ec-46bf-a63e-db81fc54dd32	POST 	 undefined 	/api/user/login
29-06-2023	11:59:10	87361d5d-a451-4504-acd7-c0cb0701955f	POST 	 undefined 	/api/user/login
29-06-2023	11:59:34	f2a1c5b3-e08a-4e60-a7e6-4bf5042cf924	GET 	 undefined 	/api/users/ZbKsGg2j3
29-06-2023	11:59:47	57227360-9da4-4335-aea5-3af698d8d05c	GET 	 undefined 	/api/users
29-06-2023	12:01:18	9168b134-1633-4de5-9d19-faf298bfc898	POST 	 undefined 	/api/register
29-06-2023	12:01:38	d816e841-804c-4d83-9aac-b334208a790a	POST 	 undefined 	/api/user/register
29-06-2023	12:01:46	2cf1203a-e695-495d-a17a-a0ebec79df2d	POST 	 undefined 	/api/user/register
29-06-2023	12:01:59	871bb1a1-73f9-459b-ab2e-3dc219137b2a	GET 	 undefined 	/api/users
29-06-2023	12:04:18	0040f462-7e3c-49e0-998e-8dfa5afd1aba	POST 	 undefined 	/api/user/login
29-06-2023	12:04:28	a69d04aa-cc69-4f1e-aa95-bdec3f4d1d01	POST 	 undefined 	/api/user/login
29-06-2023	12:04:35	11632145-b872-49f4-bd36-d6b51975e290	POST 	 undefined 	/api/user/login
29-06-2023	13:17:46	ca4b52fd-15f2-489a-b88f-fdf2a0e18113	POST 	 undefined 	/api/user/login
29-06-2023	13:31:00	3ca6878a-d9cd-4342-9a91-4dc00f9a5545	POST 	 undefined 	/api/user/login
29-06-2023	13:32:39	6f01abdc-8586-47da-9399-825087ab1b66	GET 	 undefined 	/api/users
29-06-2023	13:32:57	f09a32c8-e05a-4385-8c40-375686966d53	POST 	 undefined 	/api/user/login
29-06-2023	13:33:06	82d98a0f-4d21-4f72-b5c0-5428d1d06f3d	GET 	 undefined 	/api/users
29-06-2023	13:33:12	b6313c47-854d-43c1-a710-03a0006c6c31	GET 	 undefined 	/api/users
29-06-2023	13:33:13	774a18b2-0795-4a31-afa0-1ff20e981493	GET 	 undefined 	/api/users
29-06-2023	13:33:20	d9083c07-1e73-4228-a058-0c1198170ff1	GET 	 undefined 	/api/users
29-06-2023	13:33:22	4629341d-a411-4779-ab55-937aeb457c42	GET 	 undefined 	/api/users
29-06-2023	13:33:27	51ea18d6-d928-480e-b597-255970e28323	GET 	 undefined 	/api/users
29-06-2023	15:17:55	3cf88876-c793-431e-b078-3b97c7547efa	GET 	 undefined 	/employees
29-06-2023	15:18:08	3cfa5137-a969-48ed-a108-838d962d079f	POST 	 undefined 	/employees
29-06-2023	15:18:22	3fdf8e2e-e3d1-46d7-bfa8-e26550f9740c	POST 	 undefined 	/employees
29-06-2023	15:43:59	fa385f85-51c2-47a1-97a0-4a93501d0bd0	POST 	 undefined 	/api/user/login
29-06-2023	15:45:45	4b168670-6332-4f52-9815-db7afcaa3b1d	GET 	 undefined 	/api/user/refresh
29-06-2023	15:46:00	c057f07e-6e2a-47cc-a251-1488606ecc5f	POST 	 undefined 	/api/user/login
29-06-2023	15:46:14	dd218a67-cd63-42af-a9b9-b0a226537c03	GET 	 undefined 	/api/user/refresh
